Station,Country,County,TOC,Visited,Latitude,Longitude,Date
Abbey Wood,England,London (City Of),TfL Rail,No,51.4910605627019,0.121394025366647,
Aber,Wales,Caerffili - Caerphilly,Transport for Wales,No,51.5749691125956,-3.22982905106563,
Abercynon,Wales,"Rhondda, Cynon, Taf - Rhondda, Cynon, Taff",Transport for Wales,No,51.6447124034837,-3.32698855170195,
Aberdare,Wales,"Rhondda, Cynon, Taf - Rhondda, Cynon, Taff",Transport for Wales,No,51.7150618291708,-3.44308409477462,
Aberdeen,Scotland,Aberdeen City,ScotRail,No,57.1437058328662,-2.09868538622245,
Aberdour,Scotland,Fife,ScotRail,No,56.0545955695197,-3.30056061487314,
Aberdovey,Wales,Gwynedd - Gwynedd,Transport for Wales,No,52.5439615025967,-4.05706796158074,
Abererch,Wales,Gwynedd - Gwynedd,Transport for Wales,No,52.8985884658899,-4.37417647351973,
Abergavenny,Wales,Sir Fynwy - Monmouthshire,Transport for Wales,No,51.8166930409601,-3.00964730040687,
Abergele & Pensarn,Wales,Conwy - Conwy,Transport for Wales,No,53.2945771647609,-3.58262268840784,
Aberystwyth,Wales,Sir Ceredigion - Ceredigion,Transport for Wales,No,52.4140498933205,-4.08189442746786,
Accrington,England,Lancashire,Northern,No,53.7529733751372,-2.36954810226505,
Achanalt,Scotland,Highland,ScotRail,No,57.6096018732679,-4.91385256332031,
Achnasheen,Scotland,Highland,ScotRail,No,57.5792959197415,-5.07233352893289,
Achnashellach,Scotland,Highland,ScotRail,No,57.4820809030767,-5.33305678830677,
Acklington,England,Northumberland,Northern,No,55.3070993237817,-1.65183479633575,
Acle,England,Norfolk,Greater Anglia,No,52.6346777628319,1.54391497575916,
Acocks Green,England,West Midlands,West Midlands Trains,No,52.4493240670217,-1.81897562150643,
Acton Bridge,England,Cheshire,West Midlands Trains,No,53.2665097605329,-2.60312690733168,
Acton Central,England,London (City Of),London Overground,No,51.5087150057177,-0.262970693276422,
Acton Main Line,England,London (City Of),TfL Rail,No,51.5171788796431,-0.266756440210259,
Adderley Park,England,West Midlands,West Midlands Trains,No,52.4830872932844,-1.85594463679675,
Addiewell,Scotland,West Lothian,ScotRail,No,55.8434130805542,-3.60652712168835,
Addlestone ,England,Surrey,South Western Railway,No,51.3730447500684,-0.48445679693337,
Adisham,England,Kent,Southeastern,No,51.2411978022143,1.19908904695378,
Adlington (Cheshire),England,Cheshire,Northern,No,53.3195557900317,-2.13356274381038,
Adlington (Lancs),England,Lancashire,Northern,No,53.6132468473224,-2.6030711963325,
Adwick,England,South Yorkshire,Northern,No,53.5723210050351,-1.180356329611,
Aigburth,England,Merseyside,Merseyrail,No,53.3645680055959,-2.92715540113816,
Ainsdale,England,Merseyside,Merseyrail,No,53.6020355257546,-3.04265252059266,
Aintree,England,Merseyside,Merseyrail,No,53.4739127558616,-2.95628079876913,
Airbles,Scotland,North Lanarkshire,ScotRail,No,55.7828378389089,-3.99419330717581,
Airdrie,Scotland,North Lanarkshire,ScotRail,No,55.8639835131324,-3.98291292517007,
Albany Park,England,London (City Of),Southeastern,No,51.4354507399114,0.12573706592842,
Albrighton,England,Shropshire,West Midlands Trains,No,52.6379442676754,-2.26890024505565,
Alderley Edge,England,Cheshire,Northern,No,53.3037821045932,-2.23679936267512,
Aldermaston,England,Berkshire,Great Western Railway,No,51.4019618556841,-1.1374239270022,
Aldershot ,England,Hampshire,South Western Railway,No,51.2464179114788,-0.759859888333875,
Aldrington,England,East Sussex,GTR,No,50.8363824121951,-0.183821512855377,
Alexandra Palace,England,London (City Of),GTR,Yes,51.5979224924556,-0.120235220128854,
Alexandra Parade,Scotland,Glasgow City,ScotRail,No,55.8631759802332,-4.21064896878422,
Alexandria,Scotland,West Dunbartonshire,ScotRail,No,55.9850887680667,-4.57748537031666,
Alfreton,England,Derbyshire,East Midlands Trains,No,53.1004322999438,-1.36969621564025,
Allens West,England,Durham (County Durham),Northern,No,54.5246233650745,-1.36111683481751,
Alloa,Scotland,Clackmannanshire,ScotRail,No,56.1177936041036,-3.79005640302655,
Alness,Scotland,Highland,ScotRail,No,57.6943991747966,-4.24971726526612,
Alnmouth,England,Northumberland,Northern,No,55.3927786386397,-1.63663783937358,
Alresford (Essex),England,Essex,Greater Anglia,No,51.8539974379073,0.997436403040026,
Alsager,England,Cheshire,East Midlands Trains,No,53.0930054110113,-2.29905784069112,
Althorne,England,Essex,Greater Anglia,No,51.6478675266105,0.75248341471277,
Althorpe,England,Lincolnshire,Northern,No,53.5855003548442,-0.733182290833722,
Altnabreac,Scotland,Highland,ScotRail,No,58.3881525009701,-3.7062809681672,
Alton ,England,Hampshire,South Western Railway,No,51.1519686627366,-0.966913302570746,
Altrincham,England,Greater Manchester,Northern,No,53.3877187203289,-2.34688910433965,
Alvechurch,England,Worcestershire,West Midlands Trains,No,52.3460721156993,-1.96766073187852,
Ambergate,England,Derbyshire,East Midlands Trains,No,53.0605170840145,-1.48069758186533,
Amberley,England,West Sussex,GTR,No,50.8966791881016,-0.541992407726222,
Amersham,England,Buckinghamshire,London Underground,No,51.6742050968552,-0.607596139216709,
Ammanford,Wales,Sir Gaerfyrddin - Carmarthenshire,Transport for Wales,No,51.7959795450084,-3.99673575596767,
Ancaster,England,Lincolnshire,East Midlands Trains,No,52.9876865844111,-0.535623734022494,
Anderston,Scotland,Glasgow City,ScotRail,No,55.8599021238713,-4.27098003165416,
Andover ,England,Hampshire,South Western Railway,No,51.2115476149434,-1.49223307188506,
Anerley,England,London (City Of),London Overground,No,51.4121513855632,-0.0658859220340606,
Angmering,England,West Sussex,GTR,No,50.8165743892467,-0.489394019247872,
Annan,Scotland,Dumfries and Galloway,ScotRail,No,54.9838388790739,-3.2625810423293,
Anniesland,Scotland,Glasgow City,ScotRail,No,55.8893555064876,-4.32195784208586,
Ansdell & Fairhaven,England,Lancashire,Northern,No,53.7414654744213,-2.99303444657805,
Apperley Bridge,England,West Yorkshire,Northern,No,53.8417501065548,-1.70582867126391,
Appleby,England,Cumbria,Northern,No,54.5803488158896,-2.48669258391647,
Appledore,England,Kent,Southeastern,No,51.0332342031393,0.816341504124954,
Appleford,England,Oxfordshire,Great Western Railway,No,51.6396415502262,-1.24214153179695,
Appley Bridge,England,Lancashire,Northern,No,53.5786734960166,-2.71925251339081,
Apsley,England,Hertfordshire,West Midlands Trains,No,51.7325208234117,-0.462934812195194,
Arbroath,Scotland,Angus,ScotRail,No,56.5595762979872,-2.58893177406225,
Ardgay,Scotland,Highland,ScotRail,No,57.8814576101148,-4.36209023833324,
Ardlui,Scotland,Argyll and Bute,ScotRail,No,56.3019723653141,-4.72165858161935,
Ardrossan Harbour,Scotland,North Ayrshire,ScotRail,No,55.6398782290401,-4.82111163323781,
Ardrossan South Beach,Scotland,North Ayrshire,ScotRail,No,55.641422142645,-4.80121264089138,
Ardrossan Town,Scotland,North Ayrshire,ScotRail,No,55.6397124556587,-4.81267645169651,
Ardwick,England,Greater Manchester,Northern,No,53.471345820655,-2.21388417456067,
Argyle Street,Scotland,Glasgow City,ScotRail,No,55.8573090626122,-4.25069486323156,
Arisaig,Scotland,Highland,ScotRail,No,56.9125537431151,-5.83907949880085,
Arlesey,England,Bedfordshire,GTR,No,52.0260300130868,-0.266319838272065,
Armadale,Scotland,West Lothian,ScotRail,No,55.8857140292087,-3.69541334262219,
Armathwaite,England,Cumbria,Northern,No,54.8094679848183,-2.77207147292765,
Arnside,England,Cumbria,Northern,No,54.2027315043991,-2.82824189170434,
Arram,England,East Riding of Yorkshire,Northern,No,53.8843427696163,-0.426570132093475,
Arrochar & Tarbet,Scotland,Argyll and Bute,ScotRail,No,56.2039766194239,-4.72277124702392,
Arundel,England,West Sussex,GTR,No,50.84821399905,-0.546174298416944,
Ascot,England,Berkshire,South Western Railway,No,51.406243053303,-0.675833255037063,
Ascott-under-Wychwood,England,Oxfordshire,Great Western Railway,No,51.8673416456497,-1.56405280921503,
Ash ,England,Surrey,South Western Railway,No,51.2495967734882,-0.712805474371656,
